date,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows
2017-11-15,0.0,3771.46,1094.7083000000002,5339.974,2669.987,1666.6666666666667,14542.795966666667
2017-11-16,1050529.5269999998,4649.27,972.4918000000001,6583.616000000001,3291.8080000000004,1666.6666666666667,1067693.3794666664
2017-11-17,0.0,4968.0,1121.4525,6828.834,3414.417,1666.6666666666667,17999.370166666668
2017-11-18,0.0,3960.35,1002.3958000000001,5437.030000000001,2718.5150000000003,1666.6666666666667,14784.957466666665
2017-11-19,0.0,3357.05,940.54345,4662.5199999999995,2331.2599999999998,1666.6666666666667,12958.040116666667
2017-11-20,0.0,5730.06,1068.6728500000002,9931.934000000001,4965.967000000001,1666.6666666666667,23363.30051666667
2017-11-21,0.0,4922.41,1119.34725,7731.256,3865.628,1666.6666666666667,19305.30791666667
2017-11-22,0.0,4969.35,1039.57105,5929.562000000001,2964.7810000000004,1666.6666666666667,16569.93071666667
2017-11-23,0.0,6758.22,1623.3728000000003,10064.426,5032.213,1666.6666666666667,25144.898466666666
2017-11-24,0.0,25632.920000000002,1306.7309500000001,35496.648,17748.324,1666.6666666666667,81851.28961666668
2017-11-25,0.0,10878.81,1966.8085500000002,14272.882000000001,7136.441000000001,1666.6666666666667,35921.60821666667
2017-11-26,0.0,8226.28,1825.3774,10616.102,5308.051,1666.6666666666667,27642.47706666667
2017-11-27,0.0,8707.88,5282.27735,11292.534,5646.267,1666.6666666666667,32595.62501666667
2017-11-28,0.0,8343.8,2555.7336000000005,11230.272,5615.136,1666.6666666666667,29411.608266666666
2017-11-29,0.0,7184.36,2039.3093000000003,9394.354,4697.177,1666.6666666666667,24981.86696666667
2017-11-30,0.0,5282.63,2007.3039,7310.608,3655.304,1666.6666666666667,19922.512566666668
2017-12-01,0.0,5969.04,1788.3733,9076.210000000001,4538.1050000000005,1666.6666666666667,23038.394966666667
2017-12-02,0.0,4486.84,1526.4809,7085.116000000001,3542.5580000000004,1666.6666666666667,18307.66156666667
2017-12-03,0.0,4927.14,1228.0180500000001,6813.942,3406.971,1666.6666666666667,18042.737716666667
2017-12-04,0.0,6707.25,1610.4091500000002,10454.118,5227.059,1666.6666666666667,25665.50281666667
2017-12-05,0.0,5928.05,1478.0829,7912.084,3956.042,1666.6666666666667,20940.92556666667
2017-12-06,0.0,6291.4800000000005,1244.38965,9098.048,4549.024,1666.6666666666667,22849.608316666672
2017-12-07,0.0,4848.71,1719.7719,6559.096000000001,3279.5480000000007,1666.6666666666667,18073.792566666667
2017-12-08,0.0,4468.09,1303.5186500000002,6741.310000000001,3370.6550000000007,1666.6666666666667,17550.24031666667
2017-12-09,0.0,3612.48,1537.2105000000001,4727.904,2363.952,1666.6666666666667,13908.213166666666
2017-12-10,0.0,3811.55,971.1352000000002,5566.128000000001,2783.0640000000003,1666.6666666666667,14798.543866666667
